External ID,Document Number,Transaction Number,Maximum of Linked Invoice,Type,Date,Period,Terms,Maximum of Due Date/Receive By,Vendor Category,Vendor Name,Vendor Number,Company Name,Vendor VAT Registration Number,Vendor Billing Address,Vendor Billing Country,Bill to City,Bill to State,Bill to Country,Bill to Zip,Source System,Source System Identifier,City,State/Province,Country,Zip,Currency,Memo (Main),Maximum of GMAX Tax Code,Maximum of NetSuite Tax Item,Maximum of Coupa Tax Code,Maximum of External System Tax Code,Maximum of Tax Code (Consolidated),FOP Type,Sum of Asset,Sum of Accounts Payable,Sum of Other Liabilities,Sum of Income,Sum of Expense,Sum of VAT
- None -,137650,BL-DK0407224, ,Bill,2/25/2020,Mar-20,Net 14,3/10/2020,Coupa,DK103832,,DIBS A/S - DK,DK 21158909,DIBS A/S - DK ARNE JACOBSENS ALLE 13 KOBENHAVN  2300 Denmark,Denmark,KOBENHAVN,- None -,Denmark,2300,Procurement,- None -,Copenhagen K,- None -,Denmark,DK-1366,Danish Krone,Card Authorization Charges,,DK-S,,,DK-S,- None -,,-1934,,,1547.2,386.8
- None -,23836,BL-DK0407341, ,Bill,2/28/2020,Mar-20,NET 8,2/28/2020,Coupa,DK103934,,BYENS SMOERREBROEDSANRETNING - DK,14625194,BYENS SMOERREBROEDSANRETNING - DK RORHOLMSGADE 2-4 KOBENHAVN K  1352 Denmark,Denmark,KOBENHAVN K,- None -,Denmark,1352,Procurement,- None -,Copenhagen K,- None -,Denmark,DK-1366,Danish Krone,IN23836,,DK-S,,,DK-S,- None -,,-3271.25,,,2617,654.25
- None -,110916450,BL-DK0406305, ,Bill,2/29/2020,Mar-20,Net 30,3/30/2020,Coupa,DK102071,,STAPLES DENMARK APS,DK 2798 5017,STAPLES DENMARK APS KORSKILDELUND 6 2670 GREVE   Denmark,Denmark,GREVE,- None -,Denmark,2670,Procurement,- None -,Copenhagen K,- None -,Denmark,DK-1366,Danish Krone,Kitchen supplies,,DK-S,,,DK-S,- None -,,-286.25,,,229,57.25
- None -,1150272,BL-DK0406903, ,Bill,2/29/2020,Mar-20,Net 60,4/29/2020,Coupa,DK107509,,CIBT VISAS - DK,34054266,CIBT VISAS TUBORG HAVNEVEJ 18 2900 HELLERUP   Denmark,Denmark,HELLERUP,- None -,Denmark,2900,Procurement,- None -,Copenhagen K,- None -,Denmark,DK-1366,Danish Krone,IN1150272,,DK-S,,,DK-S,- None -,,-2000,,1600,,400
- None -,12286,BL-DK0407128, ,Bill,2/29/2020,Mar-20,Net 60,4/29/2020,Coupa,DK107456,,CONFERMA - DK,887437468,"CONFERMA - DK 5 BROOK DRIVE CHEADLE ROYAL BUSINESS PARK SK83TD CHEADLE	   United Kingdom",United Kingdom,CHEADLE,- None -,United Kingdom,SK83TD,Procurement,- None -,Copenhagen K,- None -,Denmark,DK-1366,British Pound,IN12286,,DK-Z,,,DK-Z,- None -,,-22832.98,,,22832.98,0
- None -,139071,BL-DK0406451, ,Bill,2/29/2020,Mar-20,Net 60,4/29/2020,Coupa,DK107503,,BY EXPRESSEN APS - DK,34475644,BY EXPRESSEN APS NANSENSGADE 9 1366 COPENHAGEN   Denmark,Denmark,COPENHAGEN,- None -,Denmark,1366,Procurement,- None -,Copenhagen K,- None -,Denmark,DK-1366,Danish Krone,"Courier service, Denmark Copenhagen, 2020",,DK-S,,,DK-S,- None -,,-3570.38,,,2856.3,714.08
- None -,221957,219782, ,Currency Revaluation,2/29/2020,Mar-20,- None -,,- None -,- None -,,- None -,- None -,- None -,- None -,- None -,- None -,- None -,- None -,- None -,- None -,Copenhagen K,- None -,Denmark,DK-1366,Danish Krone,- None -,,,,,,- None -,,0.01,,,-0.01,
- None -,221959,219784, ,Currency Revaluation,2/29/2020,Mar-20,- None -,,- None -,- None -,,- None -,- None -,- None -,- None -,- None -,- None -,- None -,- None -,- None -,- None -,Copenhagen K,- None -,Denmark,DK-1366,Danish Krone,- None -,,,,,,- None -,,,,,,
- None -,25681,BL-DK0406447, ,Bill,2/29/2020,Mar-20,Net 10,3/10/2020,Coupa,DK103340,,A-WAY APS - DK,32466907,A-WAY APS - DK METALGANGEN 4 G KARLSUNDE  2690 Denmark,Denmark,KARLSUNDE,- None -,Denmark,2690,Procurement,- None -,Copenhagen K,- None -,Denmark,DK-1366,Danish Krone,"Courier, Copenhagen Denmark, 2020",,DK-S,,,DK-S,- None -,,-3829.25,,,3063.4,765.85
- None -,495765,BL-DK0407340, ,Bill,2/29/2020,Mar-20,Due on receipt,2/29/2020,Coupa,DK103942,,AMADEUS IT GROUP SA - DK,A-84236934,AMADEUS IT GROUP SA - DK SALVADOR DE MADARIAGA 1 MADRID  28027 Spain,Spain,MADRID,- None -,Spain,28027,Procurement,- None -,Copenhagen K,- None -,Denmark,DK-1366,Euro,IN495765,,DK-Z,,,DK-Z,- None -,,-38584.14,,,38584.14,0
- None -,495766,BL-DK0406900, ,Bill,2/29/2020,Mar-20,Due on receipt,2/29/2020,Coupa,DK103942,,AMADEUS IT GROUP SA - DK,A-84236934,AMADEUS IT GROUP SA - DK SALVADOR DE MADARIAGA 1 MADRID  28027 Spain,Spain,MADRID,- None -,Spain,28027,Procurement,- None -,Copenhagen K,- None -,Denmark,DK-1366,Euro,2020 Year PO/Amadeus Cytric,,DK-Z : DK-EZ,,,DK-Z : DK-EZ,- None -,,-94511.92,,,94511.92,0
- None -,495767,BL-DK0406901, ,Bill,2/29/2020,Mar-20,Due on receipt,2/29/2020,Coupa,DK103942,,AMADEUS IT GROUP SA - DK,A-84236934,AMADEUS IT GROUP SA - DK SALVADOR DE MADARIAGA 1 MADRID  28027 Spain,Spain,MADRID,- None -,Spain,28027,Procurement,- None -,Copenhagen K,- None -,Denmark,DK-1366,Euro,2020 Year PO/Amadeus Cytric,,DK-Z : DK-EZ,,,DK-Z : DK-EZ,- None -,,-11326.98,,,11326.98,0
- None -,495768,BL-DK0406902, ,Bill,2/29/2020,Mar-20,Due on receipt,2/29/2020,Coupa,DK103942,,AMADEUS IT GROUP SA - DK,A-84236934,AMADEUS IT GROUP SA - DK SALVADOR DE MADARIAGA 1 MADRID  28027 Spain,Spain,MADRID,- None -,Spain,28027,Procurement,- None -,Copenhagen K,- None -,Denmark,DK-1366,Euro,2020 Year PO/Amadeus Cytric,,DK-Z : DK-EZ,,,DK-Z : DK-EZ,- None -,,-1767.39,,,1767.39,0
- None -,53169,BL-DK0406283, ,Bill,2/29/2020,Mar-20,Net 20,3/20/2020,Coupa,DK101855,,TEAM3SERVICE APS - DK,27409091,"TEAM3SERVICE APS - DK BALDERSHOEJ 26A, 1. SAL ISHOEJ  2635 Denmark",Denmark,ISHOEJ,- None -,Denmark,2635,Procurement,- None -,Copenhagen K,- None -,Denmark,DK-1366,Danish Krone,"Cleaning and supplies, Copenhagen, 2020",,DK-S,,,DK-S,- None -,,-35924.38,,,28739.5,7184.88
- None -,CPH1814449,BL-DK0406449, ,Bill,2/29/2020,Mar-20,Net 15,3/15/2020,Coupa,DK103344,,DHL EXPRESS (DENMARK) A/S - DK,10154596,DHL EXPRESS (DENMARK) A/S - DK JYDEKROGEN 14 VALLENSBAEK  2625 Denmark,Denmark,VALLENSBAEK,- None -,Denmark,2625,Procurement,- None -,Copenhagen K,- None -,Denmark,DK-1366,Danish Krone,"Courier, Denmark Copenhagen, 2020",,DK-S,,,DK-S,- None -,,-774.06,,,619.25,154.81
00380287939-1289112-010-001-VB,00380287939-1289112-010-001,BL-DK0406275,Invoice #IN-DK4695663,Bill,3/1/2020,Mar-20,- None -,3/1/2020,GMAX,BSP - DK,,BSP - DK,- None -,BSP - DK Denmark,Denmark,- None -,- None -,Denmark,- None -,GMAX,- None -,Copenhagen K,- None -,Denmark,DK-1366,Danish Krone,- None -,,DK-Z,,,DK-Z,- None -,,-1010,,1010,,0
00381646059-1289089-012-001-VB,00381646059-1289089-012-001,BL-DK0406276,Invoice #IN-DK4695673,Bill,3/1/2020,Mar-20,- None -,3/1/2020,GMAX,BSP - DK,,BSP - DK,- None -,BSP - DK Denmark,Denmark,- None -,- None -,Denmark,- None -,GMAX,- None -,Copenhagen K,- None -,Denmark,DK-1366,Danish Krone,- None -,,DK-Z,,,DK-Z,- None -,,-386.8,,386.8,,0
00382201135-1289060-001-001-VB,00382201135-1289060-001-001,BL-DK0406273,Invoice #IN-DK4695564,Bill,3/1/2020,Mar-20,- None -,3/1/2020,GMAX,BSP - DK,,BSP - DK,- None -,BSP - DK Denmark,Denmark,- None -,- None -,Denmark,- None -,GMAX,- None -,Copenhagen K,- None -,Denmark,DK-1366,Danish Krone,- None -,,DK-Z,,,DK-Z,- None -,,-1853,,1853,,0
00382201145-1289102-005-001-VB,00382201145-1289102-005-001,BL-DK0406278,Invoice #IN-DK4695768,Bill,3/1/2020,Mar-20,- None -,3/1/2020,GMAX,40454_1115,,CEBU AIR-DK,- None -,CEBU AIR Denmark,Denmark,- None -,- None -,Denmark,- None -,GMAX,- None -,Copenhagen K,- None -,Denmark,DK-1366,Danish Krone,- None -,,DK-Z,,,DK-Z,- None -,,-823.29,,823.29,,0
00382201196-1289076-001-001-VB,00382201196-1289076-001-001,BL-DK0406274,Invoice #IN-DK4695591,Bill,3/1/2020,Mar-20,- None -,3/1/2020,GMAX,BSP - DK,,BSP - DK,- None -,BSP - DK Denmark,Denmark,- None -,- None -,Denmark,- None -,GMAX,- None -,Copenhagen K,- None -,Denmark,DK-1366,Danish Krone,- None -,,DK-Z,,,DK-Z,- None -,,-2503,,2503,,0
